ram (re:zero), re:zero kara hajimeru isekai seikatsu

rem (re:zero), re:zero kara hajimeru isekai seikatsu

beatrice (re:zero), re:zero kara hajimeru isekai seikatsu

emilia (re:zero), re:zero kara hajimeru isekai seikatsu

echidna (re:zero), re:zero kara hajimeru isekai seikatsu

crusch karsten, re:zero kara hajimeru isekai seikatsu


san (mononoke hime), mononoke hime

mizuno ami, bishoujo senshi sailor moon

aino minako, bishoujo senshi sailor moon

tsukino usagi, bishoujo senshi sailor moon

kino makoto, bishoujo senshi sailor moon

hino rei, bishoujo senshi sailor moon



chacha (akazukin chacha), akazukin chacha

magical princess, akazukin chacha


lina inverse, slayers


sylphiel nels lahda, slayers

amelia wil tesla seyruun, slayers

filia ul copt, slayers


ayako (anime), slam dunk (series)

akagi haruko (anime), slam dunk (series)



nova (starcraft), starcraft

sarah kerrigan, starcraft


asuna (sao), sword art online


irina jelavic, ansatsu kyoushitsu

ayanami rei, neon genesis evangelion

souryuu asuka langley, neon genesis evangelion

katsuragi misato, neon genesis evangelion

ikari yui, neon genesis evangelion

horaki hikari, neon genesis evangelion



diane (nanatsu no taizai), nanatsu no taizai

liones margaret, nanatsu no taizai

merlin (nanatsu no taizai), nanatsu no taizai

elizabeth liones, nanatsu no taizai




darkness (konosuba), kono subarashii sekai ni shukufuku wo!

megumin, kono subarashii sekai ni shukufuku wo!

aqua (konosuba), kono subarashii sekai ni shukufuku wo!


shirahoshi, one piece

vinsmoke reiju, one piece

black maria (one piece), one piece

nefertari vivi, one piece

alvida (one piece), one piece

boa hancock, one piece

tashigi, one piece

hina (one piece), one piece

nico robin, one piece

nami (one piece), one piece

tatsumaki, one-punch man
fubuki (one-punch man), one-punch man
kaijin hime do-s, one-punch man

albedo (overlord), overlord (maruyama)

shalltear bloodfallen, overlord (maruyama)


hoshino ai, oshi no ko

hoshino ruby, oshi no ko

kurokawa akane, oshi no ko

arima kana, oshi no ko

memcho, oshi no ko


kotobuki minami (anime), oshi no ko

saitou miyako, oshi no ko

sumi yuki (anime), oshi no ko

arima kana, oshi no ko

reze (chainsaw man), chainsaw man

power (chainsaw man), chainsaw man

haneoka meimi, kaitou saint tail

mikasa ackerman, shingeki no kyojin

annie leonhart, shingeki no kyojin

gabi braun, shingeki no kyojin

sasha blouse, shingeki no kyojin

carla yeager, shingeki no kyojin

milim nava, tensei shitara slime datta ken

ramiris (anime), tensei shitara slime datta ken

rimuru tempest, tensei shitara slime datta ken

shuna (tensura), tensei shitara slime datta ken

shion (tensura), tensei shitara slime datta ken

izawa shizue, tensei shitara slime datta ken

aura (sousou no frieren), sousou no frieren

linie (sousou no frieren), sousou no frieren

lawine (sousou no frieren), sousou no frieren

laufen (sousou no frieren), sousou no frieren

ubel (sousou no frieren), sousou no frieren

kanne (sousou no frieren), sousou no frieren

fern (sousou no frieren), sousou no frieren

methode (sousou no frieren), sousou no frieren

edel (sousou no frieren), sousou no frieren

ehre (sousou no frieren), sousou no frieren

serie (sousou no frieren), sousou no frieren

sense (sousou no frieren), sousou no frieren

frieren, sousou no frieren

flamme (sousou no frieren), sousou no frieren

nina einstein, code geass

milly ashford, code geass

shirley fenette, code geass

tianzi, code geass

villetta nu, code geass

cecile croomy, code geass

anya alstreim, code geass

euphemia li britannia, code geass

cornelia li britannia, code geass

nunnally vi britannia, code geass

marianne vi britannia, code geass

c.c. (code geass), code geass

rakshata chawla, code geass

shinozaki sayoko, code geass

chiba nagisa, code geass

kouzuki kallen, code geass

momobami ririka, kakegurui

momobami kirari, kakegurui

saotome mary, kakegurui

igarashi sayaka, kakegurui

jabami yumeko, kakegurui

kinomoto sakura, cardcaptor sakura

daidouji tomoyo, cardcaptor sakura
